area, productname, slot, GUID, Loops, StopOnError, LoopOnError, LoopForTime, step name, location
setlist ADT_sequencer_list
"PCB2C, C9400-SUP-1, 0, C5A6C6EB-DC03-4C88-9D2E-D458C1443426, 1, 1, 0, 0, ADT_MCL_START, ADT_MCL_START"
"PCB2C, C9400-SUP-1, 0, 08E60182-A75E-4F58-9308-3CA3C92D2477, 1, 1, 0, 0, FLASH_BOOT_KERNEL, ADT_MCL_X86_FLASH_BOOT_KERNEL|1"
"PCB2C, C9400-SUP-1, 0, F10E491C-F976-4BE6-8BB0-9DFAE0B91BAB, 1, 0, 0, 0, FLASH_LAUNCH_STARDUST, ADT_MCL_FLASH_LAUNCH_STARDUST|1:PRISUP"
"PCB2C, C9400-SUP-1, 0, 1A1A126C-B6E2-4F69-BA95-1D8DFF2AC854, 1, 0, 0, 0, SHOW_LC_IDPROM, ADT_MCL_LC_IDPROM_INFO|1:PRISUP"
"PCB2C, C9400-SUP-1, 0, DBA8819B-838F-4D31-9D19-F05E7FF870EA, 1, 0, 0, 0, VOLT_MARGIN_SET, ADT_MCL_VOLT_MARGIN_SET|1:PRISUP"
"PCB2C, C9400-SUP-1, 0, 068B4CCB-AC77-4453-BDFA-7EEA21AF23EF, 1, 0, 0, 0, VOLT_MARGIN_CAP, ADT_MCL_VOLT_MARGIN_CAPTURE|1:PRISUP"
"PCB2C, C9400-SUP-1, 0, CC53B923-9832-4C29-874C-7B2BE9472D66, 1, 0, 0, 0, VOLT_MARGIN_CHK, ADT_MCL_VOLT_MARGIN_VERIFY|1:PRISUP"
"PCB2C, C9400-SUP-1, 0, F273426F-95D9-4F68-82D6-F8B0EF9C52DF, 1, 0, 0, 0, SEND_SYSINIT, ADT_MCL_SEND_SYSINIT|1:PRISUP"
"PCB2C, C9400-SUP-1, 0, C82129E6-F294-4E46-B2DA-F631B84B4D48, 1, 0, 0, 0, ACT2_VERIFY, ADT_MCL_ACT2_AUTHENTICATED|1:PRISUP"
"PCB2C, C9400-SUP-1, 0, C1B6CA9C-C39D-4145-8A48-EBE5EB1B37B7, 1, 0, 0, 0, PS_SHOW_SLOT, ADT_MCL_PS_SHOW_SLOT|1:PRISUP"
"PCB2C, C9400-SUP-1, 0, 41983C57-4D87-4819-AB93-51059B8B451E, 1, 0, 0, 0, PS_SHOW_INFO, ADT_MCL_PS_SHOW_INFO|1:PRISUP"
"PCB2C, C9400-SUP-1, 0, C52AE830-93E6-47FC-87BB-E890A106F263, 1, 0, 0, 0, STACK_RAC, ADT_MCL_X86_STACK_RAC|1:PRISUP"
"PCB2C, C9400-SUP-1, 0, 7649670C-2D4E-4A5F-BD36-B15D0C84F601, 1, 0, 0, 0, STACK_INFO, ADT_MCL_X86_STACK_INFO|1:PRISUP"
"PCB2C, C9400-SUP-1, 0, 6182EBDC-2F51-452E-8205-7BD78583AADA, 1, 0, 0, 0, NIFSERDESEYE_TEST, ADT_MCL_NIF_SERDES_EYE_TEST|1:PRISUP"
"PCB2C, C9400-SUP-1, 0, 2D705459-8F26-4C98-B792-2A3E12B4FA3C, 1, 0, 0, 0, SLISERDESEYE_TEST, ADT_MCL_SLI_SERDES_EYE_TEST|1:PRISUP"
"PCB2C, C9400-SUP-1, 0, 2375AE72-0519-4407-9B1D-C8FBF98B0098, 1, 0, 0, 0, SUPDPSERDESEYE_TEST, ADT_MCL_SUPDP_SERDES_EYE_TEST|1:PRISUP"
;"PCB2C, C9400-SUP-1, 0, C526C586-7A8B-43FE-93E7-138733C162C7, 1, 0, 0, 0, OCISERDESEYE_TEST1, ADT_MCL_OCI_1_SERDES_EYE_TEST|1:PRISUP"
;"PCB2C, C9400-SUP-1, 0, F299477A-96A6-4435-BF04-393B12B6E2CE, 1, 0, 0, 0, OCISERDESEYE_TEST2, ADT_MCL_OCI_2_SERDES_EYE_TEST|1:PRISUP"
;"PCB2C, C9400-SUP-1, 0, 12F3E964-6952-4A30-A750-8E83BA611015, 1, 0, 0, 0, OCISERDESEYE_TEST3, ADT_MCL_OCI_3_SERDES_EYE_TEST|1:PRISUP"
;"PCB2C, C9400-SUP-1, 0, 070E6458-936B-4DD2-B36C-B1176F12151C, 1, 0, 0, 0, OCISERDESEYE_TEST4, ADT_MCL_OCI_4_SERDES_EYE_TEST|1:PRISUP"
"PCB2C, C9400-SUP-1, 0, F622366B-092B-43F3-A670-561F83881C61, 1, 0, 0, 0, STD_NAV_DIAG, ADT_MCL_STARDUST_NAV|diag:1:PRISUP"
"PCB2C, C9400-SUP-1, 0, 88DDA9EC-614A-4623-BBAC-03699EFC629F, 1, 0, 0, 0, DIAG_DOPPTPFLEXTIMER, ADT_MCL_DIAG_RUN|DopPtpFlexTimer:120:PRISUP"
"PCB2C, C9400-SUP-1, 0, 0DAD11B9-C675-498A-ABDD-BFE32707BF6B, 1, 0, 0, 0, DIAG_DOPPTPINGTEST, ADT_MCL_DIAG_RUN|DopPtpIngTest:120:PRISUP"
